Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
624,Guinea-Bissau,2019,GDP per capita (US dollars),688,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
328,Guyana,2019,GDP per capita (US dollars),"6,610",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
332,Haiti,2019,GDP per capita (US dollars),715,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
340,Honduras,2019,GDP per capita (US dollars),"2,575",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
348,Hungary,2019,GDP per capita (US dollars),"16,879",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
352,Iceland,2019,GDP per capita (US dollars),"71,345",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
356,India,2019,GDP per capita (US dollars),"2,116",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
360,Indonesia,2019,GDP per capita (US dollars),"4,136",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
364,Iran (Islamic Republic of),2019,GDP per capita (US dollars),"7,282",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
368,Iraq,2019,GDP per capita (US dollars),"5,730",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
372,Ireland,2019,GDP per capita (US dollars),"81,637",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
376,Israel,2019,GDP per capita (US dollars),"46,376",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
380,Italy,2019,GDP per capita (US dollars),"33,090",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
388,Jamaica,2019,GDP per capita (US dollars),"5,369",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
392,Japan,2019,GDP per capita (US dollars),"40,063",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
400,Jordan,2019,GDP per capita (US dollars),"4,405",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
398,Kazakhstan,2019,GDP per capita (US dollars),"9,793",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
404,Kenya,2019,GDP per capita (US dollars),"1,817",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
296,Kiribati,2019,GDP per capita (US dollars),"1,657",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
412,Kosovo,2019,GDP per capita (US dollars),"4,473",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
414,Kuwait,2019,GDP per capita (US dollars),"31,999",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
417,Kyrgyzstan,2019,GDP per capita (US dollars),"1,318",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
418,Lao People's Dem. Rep.,2019,GDP per capita (US dollars),"2,625",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
428,Latvia,2019,GDP per capita (US dollars),"17,885",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
422,Lebanon,2019,GDP per capita (US dollars),"7,784",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
426,Lesotho,2019,GDP per capita (US dollars),"1,158",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
430,Liberia,2019,GDP per capita (US dollars),523,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
434,Libya,2019,GDP per capita (US dollars),"4,810",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
438,Liechtenstein,2019,GDP per capita (US dollars),"178,799",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
440,Lithuania,2019,GDP per capita (US dollars),"19,795",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
442,Luxembourg,2019,GDP per capita (US dollars),"115,481",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
450,Madagascar,2019,GDP per capita (US dollars),523,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
454,Malawi,2019,GDP per capita (US dollars),435,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
