Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
356,India,2019,Population density,459.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
360,Indonesia,2019,Population density,149.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
364,Iran (Islamic Republic of),2019,Population density,50.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
368,Iraq,2019,Population density,90.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
372,Ireland,2019,Population density,70.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
833,Isle of Man,2019,Population density,148.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
376,Israel,2019,Population density,393.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
380,Italy,2019,Population density,205.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
388,Jamaica,2019,Population density,272.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
392,Japan,2019,Population density,348,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
400,Jordan,2019,Population density,113.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
398,Kazakhstan,2019,Population density,6.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
404,Kenya,2019,Population density,92.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
296,Kiribati,2019,Population density,145.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
414,Kuwait,2019,Population density,236.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
417,Kyrgyzstan,2019,Population density,33.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
418,Lao People's Dem. Rep.,2019,Population density,31.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
428,Latvia,2019,Population density,30.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
422,Lebanon,2019,Population density,670.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
426,Lesotho,2019,Population density,70,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
430,Liberia,2019,Population density,51.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
434,Libya,2019,Population density,3.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
438,Liechtenstein,2019,Population density,237.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
440,Lithuania,2019,Population density,44,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
442,Luxembourg,2019,Population density,237.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
450,Madagascar,2019,Population density,46.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
454,Malawi,2019,Population density,197.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
458,Malaysia,2019,Population density,97.2,Including Sabah and Sarawak.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
462,Maldives,2019,Population density,"1,769.90",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
466,Mali,2019,Population density,16.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
470,Malta,2019,Population density,"1,376.20",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
584,Marshall Islands,2019,Population density,326.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
474,Martinique,2019,Population density,354.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
478,Mauritania,2019,Population density,4.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
480,Mauritius,2019,Population density,625.5,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
484,Mexico,2019,Population density,65.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
583,Micronesia (Fed. States of),2019,Population density,162.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
492,Monaco,2019,Population density,"26,152.30",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
496,Mongolia,2019,Population density,2.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
499,Montenegro,2019,Population density,46.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
500,Montserrat,2019,Population density,49.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
504,Morocco,2019,Population density,81.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
508,Mozambique,2019,Population density,38.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
104,Myanmar,2019,Population density,82.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
516,Namibia,2019,Population density,3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
520,Nauru,2019,Population density,538.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
524,Nepal,2019,Population density,199.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
528,Netherlands,2019,Population density,507,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
540,New Caledonia,2019,Population density,15.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
554,New Zealand,2019,Population density,18.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
558,Nicaragua,2019,Population density,54.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
562,Niger,2019,Population density,18.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
566,Nigeria,2019,Population density,220.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
570,Niue,2019,Population density,6.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
807,North Macedonia,2019,Population density,82.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
580,Northern Mariana Islands,2019,Population density,124.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
